1,Associate Stop Loss Underwriter,$57K - $84K (Glassdoor est.),30d+,1
2,Manager of Data Science,$106K - $157K (Glassdoor est.),30d+,2
3,Senior Data Product Manager,$105K - $141K (Glassdoor est.),11d,3
4,Oncology Nurse Navigator,$90K - $113K (Employer est.),1d,4
5,Head of Artificial Intelligence – Americas Region,$89K - $148K (Glassdoor est.),30d+,5
6,Senior AIOps Engineer,$151K - $175K (Employer est.),30d+,6
7,Training Department Supervisor,$60K - $65K (Employer est.),27d,7
8,Senior Data Scientist,$112K - $169K (Glassdoor est.),30d+,8
9,Machine Learning Engineer,$140K - $170K (Employer est.),30d+,9
10,RN Clinical Educator,$90K - $113K (Employer est.),1d,10
11,Legal Assistant,$21.00 - $23.00 Per Hour (Employer est.),10d,11
12,Junior Game Mathematician,$37K - $55K (Glassdoor est.),30d+,12
13,Senior Data Analyst (Hybrid Remote),$90K (Employer est.),30d+,13
14,Senior Manager Advanced Analytics (US),$111K - $166K (Employer est.),30d,14
15,AI/ML Subject Matter Expert,$165K - $175K (Employer est.),30d+,15
16,Lead AI Developer,$125K - $175K (Employer est.),30d+,16
17,Data Scientist,$100K - $105K (Employer est.),30d+,17
18,Data Scientist - Manufacturing Analytics,$95K - $135K (Employer est.),30d+,18
19,Project Manager/ Senior Data Analyst,$75K - $108K (Glassdoor est.),6d,19
20,Data Science Technical Fellow,$214K - $310K (Employer est.),30d+,20
21,Artificial Intelligence (AI) Cybersecurity Architect,$119K - $196K (Employer est.),2d,21
22,Director - Systems and Technology - Data  Artificial Intelligence and Portfolio Delivery,$165K - $248K (Employer est.),30d+,22
23,AI Integration Specialist,$54K - $87K (Glassdoor est.),30d+,23
24,Data Analyst (Onsite),$55K - $84K (Glassdoor est.),30d+,24
25,Digital Marketing Specialist (Paid Media Focus),$65K - $75K (Employer est.),30d+,25
26,Senior Data Scientist,$98K - $174K (Employer est.),2d,26
27,Statistician,$52K - $82K (Glassdoor est.),4d,27
28,Senior Data Analyst,$85K (Employer est.),30d+,28
29,Senior Research Scientist - Adversarial Machine Learning,$61K - $111K (Glassdoor est.),30d+,29
30,Principal Data Scientist - Time Series,$112K - $200K (Employer est.),30d+,30
31,NC3 Systems Engineer - Omaha,$117K - $160K (Glassdoor est.),30d+,31
32,Computational Engineer (Level II or Senior),$86K - $155K (Employer est.),30d+,32
33,Employee Relations Manager,$73K - $78K (Employer est.),30d+,33
34,Director  Statistical Programming,$132K - $190K (Glassdoor est.),30d+,34
35,Senior Clinical Informatics Analyst,$95K (Employer est.),5d,35
36,Patent Agent (Machine Learning AI/Computer Science) - ELITE AMLAW FIRM,$250K (Employer est.),5d,36
37,Data Scientist – NLP,$90K - $120K (Employer est.),30d+,37
38,Senior Data Scientist (Remote Available),$88K - $153K (Glassdoor est.),30d+,38
39,Full Stack Data Engineer,$120K - $130K (Employer est.),30d+,39
40,Machine Learning Engineer,$90K - $144K (Glassdoor est.),16d,40
41,Data Architect III,$98K - $134K (Glassdoor est.),1d,41
42,Data Scientist [Post-Doc Research Fellow],$75K - $90K (Employer est.),30d+,42
43,SAP Performance Engineer,$140K - $145K (Employer est.),5d,43
44,Space Predictive Modeling and Sim Analyst Mid Level,$57K - $95K (Glassdoor est.),30d+,44
45,Sr. Analyst  Data Science & Reporting,$98K - $131K (Glassdoor est.),2d,45
46,Reporting Data Engineer,$125K - $150K (Employer est.),5d,46
47,Analytical Flavor Chemist,$65K - $80K (Employer est.),16d,47
48,Senior Data Scientist,$129K - $165K (Glassdoor est.),6d,48
49,Senior Performance Software Engineer  Deep Learning Libraries,$180K - $339K (Employer est.),30d+,49
50,Head of R and D Data Engineering,$126K - $186K (Glassdoor est.),12d,50
51,Supply Chain Analyst,$58K - $82K (Employer est.),17d,51
52,Solution Developer I - Automation & Innovation Management,$69K - $108K (Glassdoor est.),30d+,52
53,Senior Data Science Analyst,$86K - $120K (Employer est.),5d,53
54,Data Science Engineer - Remote,$112K - $132K (Employer est.),2d,54
55,Manager - IT Infrastructure Engineering,$135K - $160K (Employer est.),5d,55
56,Quantitative Analytics Senior (Hybrid- 3 Days in Office),$118K - $178K (Employer est.),4d,56
57,Research Scientist,$94K (Employer est.),2d,57
58,Director of Asset Management,$102K - $154K (Glassdoor est.),4d,58
59,Principal Data Science,$127K - $177K (Employer est.),3d,59
60,Product Management Leader- AI,$109K - $168K (Glassdoor est.),18d,60
61,Manager Data Science,$127K - $177K (Employer est.),17d,61
62,Data Governance  VP,$130K - $155K (Employer est.),30d+,62
63,Data Science Consultant,$92K - $130K (Glassdoor est.),30d+,63
64,Data Scientist,$85K - $137K (Glassdoor est.),30d+,64
65,Lead Data Science Analyst,$103K - $143K (Employer est.),18d,65
66,Quantitative Analytics Professional (Hybrid- 3 Days in Office),$97K - $145K (Employer est.),30d+,66
67,Senior Marketing Data & Automation Analyst,$67K - $102K (Glassdoor est.),6d,67
68,Senior AI-HPC Storage Engineer,$180K - $339K (Employer est.),30d+,68
